files_A,files_B,overlap,overlap_ratio,total_changed_lines_A,total_changed_lines_B,total_overlap_ranges,total_overlap_lines,same_file_line_overlap_ratio,max_file_overlap,same_file_churn,churn,conflict
4,3,0,0.0,113,64,0,0,0.0,0,0,5.181783550292085,0
3,1,1,0.3333333333333333,109,2,0,0,0.0,0,12,4.718498871295094,0
84,2,1,0.011764705882352941,6808,8,1,1,0.00014671361502347418,1,10,8.827174771362785,0
0,1,0,0.0,0,4,0,0,0.0,0,0,1.6094379124341003,0
1,1,0,0.0,2,97,0,0,0.0,0,0,4.605170185988092,0
82,1,0,0.0,6583,6,0,0,0.0,0,0,8.793308627496552,0
54,1,0,0.0,2393,14,0,0,0.0,0,0,7.786551806428712,0
15,1,1,0.06666666666666667,184,35,0,0,0.0,0,6,5.393627546352362,0
11,1,0,0.0,85,2,0,0,0.0,0,0,4.477336814478207,0
11,1,1,0.09090909090909091,83,4,0,0,0.0,0,4,4.477336814478207,0
11,1,1,0.09090909090909091,81,2,0,0,0.0,0,3,4.430816798843313,0
6,1,0,0.0,37,2,0,0,0.0,0,0,3.6888794541139363,0
7,1,0,0.0,37,7,0,0,0.0,0,0,3.8066624897703196,0
14,1,0,0.0,173,9,0,0,0.0,0,0,5.209486152841421,0
1,117,1,0.008547008547008548,2,7830,1,1,0.00012768130745658836,1,12,8.96610085736724,0
0,2,0,0.0,0,5,0,0,0.0,0,0,1.791759469228055,0
1,4,0,0.0,2,79,0,0,0.0,0,0,4.406719247264253,0
0,3,0,0.0,0,77,0,0,0.0,0,0,4.356708826689592,0
1,2,0,0.0,2,13,0,0,0.0,0,0,2.772588722239781,0
3,1,1,0.3333333333333333,18,2,0,0,0.0,0,2,3.044522437723423,0
1,1,0,0.0,4,7,0,0,0.0,0,0,2.4849066497880004,0
1,1,0,0.0,2,7,0,0,0.0,0,0,2.302585092994046,0
0,1,0,0.0,0,8,0,0,0.0,0,0,2.1972245773362196,0
1,46,1,0.021739130434782608,15,1960,2,17,0.008607594936708861,9,4,7.588829878307813,1
1,102,0,0.0,9,7168,0,0,0.0,0,0,8.878776071707552,0
0,1,0,0.0,0,9,0,0,0.0,0,0,2.302585092994046,0
122,1,0,0.0,8941,9,0,0,0.0,0,0,9.099520536870939,0
0,1,0,0.0,0,1,0,0,0.0,0,0,0.6931471805599453,0
0,44,0,0.0,0,1916,0,0,0.0,0,0,7.558516743045645,0
43,45,11,0.14285714285714285,1810,4498,9,67,0.01062143310082435,22,62,8.74973246437081,1
0,3,0,0.0,0,21,0,0,0.0,0,0,3.091042453358316,0
0,10,0,0.0,0,351,0,0,0.0,0,0,5.863631175598097,0
1,1,0,0.0,2,1,0,0,0.0,0,0,1.3862943611198906,0
0,1,0,0.0,0,2,0,0,0.0,0,0,1.0986122886681098,0
1,2,0,0.0,10,220,0,0,0.0,0,0,5.442417710521793,0
0,1,0,0.0,0,10,0,0,0.0,0,0,2.3978952727983707,0
1,6,0,0.0,10,18,0,0,0.0,0,0,3.367295829986474,0
2,8,1,0.1111111111111111,220,38,0,0,0.0,0,4,5.556828061699537,0
4,1,0,0.0,9,1,0,0,0.0,0,0,2.3978952727983707,0
52,2,1,0.018867924528301886,4686,4,0,0,0.0,0,6,8.453401058328458,0
52,1,1,0.019230769230769232,4684,2,0,0,0.0,0,5,8.452547997922705,0
52,1,1,0.019230769230769232,4684,1,0,0,0.0,0,2,8.452334619067742,0
51,1,0,0.0,4682,2,0,0,0.0,0,0,8.452121194672523,0
2,1,0,0.0,20,4,0,0,0.0,0,0,3.2188758248682006,0
0,2,0,0.0,0,20,0,0,0.0,0,0,3.044522437723423,0
2,31,2,0.06451612903225806,208,4076,1,22,0.005135387488328665,22,5,8.36287583103188,1
0,16,0,0.0,0,477,0,0,0.0,0,0,6.169610732491456,0
16,36,1,0.0196078431372549,479,4185,0,0,0.0,0,3,8.447843113281444,0
0,4,0,0.0,0,203,0,0,0.0,0,0,5.318119993844216,0
4,13,2,0.13333333333333333,179,103,0,0,0.0,0,4,5.645446897643238,0
2,16,2,0.125,202,170,5,38,0.10215053763440861,16,10,5.921578419643816,1
74,74,52,0.5416666666666666,2169,1484,97,850,0.23268546400218998,34,237,8.203577736937952,1
0,9,0,0.0,0,623,0,0,0.0,0,0,6.436150368369428,0
7,3,1,0.1111111111111111,59,25,1,6,0.07142857142857142,6,4,4.442651256490317,0
9,8,3,0.21428571428571427,621,98,3,24,0.03337969401947149,9,9,6.579251212010101,1
0,8,0,0.0,0,98,0,0,0.0,0,0,4.59511985013459,0
1,8,1,0.125,6,128,1,3,0.022388059701492536,3,5,4.90527477843843,1
0,1,0,0.0,0,2,0,0,0.0,0,0,1.0986122886681098,0
1,0,0,0.0,2,0,0,0,0.0,0,0,1.0986122886681098,0
0,6,0,0.0,0,52,0,0,0.0,0,0,3.970291913552122,0
10,77,6,0.07407407407407407,620,1914,4,32,0.012628255722178374,10,23,7.837948916025283,1
10,1,0,0.0,417,7,0,0,0.0,0,0,6.052089168924417,0
6,1,0,0.0,324,2,0,0,0.0,0,0,5.7899601708972535,0
6,1,0,0.0,324,6,0,0,0.0,0,0,5.802118375377063,0
6,1,0,0.0,324,67,0,0,0.0,0,0,5.971261839790462,0
1,9,0,0.0,29,348,0,0,0.0,0,0,5.934894195619588,0
1,1,1,1.0,44,2,1,7,0.15217391304347827,7,5,3.8501476017100584,1
2,6,0,0.0,13,324,0,0,0.0,0,0,5.823045895483019,0
3,129,2,0.015384615384615385,9,9134,1,6,0.0006562397462539647,6,11,9.120853205474647,1
0,1,0,0.0,0,2,0,0,0.0,0,0,1.0986122886681098,0
0,1,0,0.0,0,5,0,0,0.0,0,0,1.791759469228055,0
0,10,0,0.0,0,237,0,0,0.0,0,0,5.472270673671475,0
16,67,6,0.07792207792207792,477,856,2,10,0.007501875468867217,6,28,7.195937226475569,1
1,55,1,0.01818181818181818,5,564,0,0,0.0,0,3,6.345636360828596,0
30,1,0,0.0,293,5,0,0,0.0,0,0,5.700443573390687,0
2,1,0,0.0,20,52,0,0,0.0,0,0,4.290459441148391,0
1,2,1,0.5,2,6,1,7,0.875,7,3,2.1972245773362196,0
3,105,3,0.02857142857142857,15,4898,1,7,0.0014247913698351314,7,17,8.499843553081124,1
2,105,2,0.01904761904761905,107,4898,0,0,0.0,0,12,8.518392471991719,0
1,1,1,1.0,2,202,1,8,0.0392156862745098,8,27,5.3230099791384085,0
0,47,0,0.0,0,5183,0,0,0.0,0,0,8.55333223803211,0
0,1,0,0.0,0,3,0,0,0.0,0,0,1.3862943611198906,0
175,39,2,0.009433962264150943,26678,770,0,0,0.0,0,21,10.220085016401597,0
3,6,0,0.0,36,1336,0,0,0.0,0,0,7.224753405767971,0
7,11,0,0.0,30,226,0,0,0.0,0,0,5.54907608489522,0
7,6,0,0.0,30,61,0,0,0.0,0,0,4.5217885770490405,0
1,2,1,0.5,1,77,1,5,0.0641025641025641,5,15,4.3694478524670215,0
0,6,0,0.0,0,93,0,0,0.0,0,0,4.543294782270004,0
0,3,0,0.0,0,45,0,0,0.0,0,0,3.828641396489095,0
6,16,0,0.0,33,4171,0,0,0.0,0,0,8.344029572407049,0
16,1068,4,0.003703703703703704,4150,85626,2,5,5.5694172161824983e-05,3,40,11.405084096763149,1
79,17,0,0.0,2016,1116,0,0,0.0,0,0,8.049746290952191,0
25,7,1,0.03225806451612903,1523,710,0,0,0.0,0,3,7.711548979629146,0
4,4,1,0.14285714285714285,13,305,0,0,0.0,0,5,5.765191102784844,0
0,2,0,0.0,0,67,0,0,0.0,0,0,4.219507705176107,0
90,6,1,0.010526315789473684,5629,277,1,12,0.002031832035218422,12,3,8.683893367307235,0
6,11,0,0.0,90,1527,0,0,0.0,0,0,7.388946097618437,0
1,7,0,0.0,26,328,0,0,0.0,0,0,5.872117789475416,0
96,7,0,0.0,10378,319,0,0,0.0,0,0,9.277812087091196,0
0,1,0,0.0,0,26,0,0,0.0,0,0,3.295836866004329,0
3,4,0,0.0,11,386,0,0,0.0,0,0,5.986452005284438,0
0,17,0,0.0,0,979,0,0,0.0,0,0,6.887552571664617,0
13,12,1,0.041666666666666664,4120,3331,1,825,0.11072339283317675,825,2,8.916237731721479,1
13,182,2,0.010362694300518135,3853,19203,352,1802,0.07815752949340736,18,919,10.045724689956613,1
14,182,3,0.015544041450777202,4939,19203,351,1807,0.07484881120039764,18,955,10.091749761992155,1
1,5,0,0.0,9,718,0,0,0.0,0,0,6.590301048196686,0
142,137,137,0.9647887323943662,14725,14007,764,17172,0.5976611443686481,1268,1528,10.265801566988308,0
7,60,0,0.0,319,6583,0,0,0.0,0,0,8.839711378703475,0
21,6,0,0.0,4862,612,0,0,0.0,0,0,8.607947554684701,0
7,98,0,0.0,318,5961,0,0,0.0,0,0,8.745125259462244,0
0,6,0,0.0,0,567,0,0,0.0,0,0,6.342121418721152,0
0,5,0,0.0,0,1108,0,0,0.0,0,0,7.011213987350367,0
0,3,0,0.0,0,495,0,0,0.0,0,0,6.206575926724928,0
0,1,0,0.0,0,125,0,0,0.0,0,0,4.836281906951478,0
14,3,1,0.0625,3377,42,0,0,0.0,0,4,8.13739583005665,0
0,6,0,0.0,0,854,0,0,0.0,0,0,6.75110146893676,0
3,1,0,0.0,495,125,0,0,0.0,0,0,6.431331081933479,0
3,3,1,0.2,495,42,0,0,0.0,0,4,6.2878585601617845,0
13,345,2,0.0056179775280898875,2523,17988,5,26,0.0012676125006094291,7,468,9.928765359720396,1
0,6,0,0.0,0,391,0,0,0.0,0,0,5.971261839790462,0
